SocClust_Id	SocClust_Name	Is_Urban	Elasticity	Budget	WTP	Penalty	Better	Worse	Social_weight	Health	Time_gender	Emissions	Deforestation
1	adm_R	0	0.3	20	0.07	0.2	4	6	0.35	0.2	0.7	0.05	0.05
2	com_R	0	0.3	20	0.07	0.2	4	6	0.35	0.2	0.7	0.05	0.05
3	res_low_R	0	0.3	20	0.07	0.2	4	6	0.35	0.2	0.7	0.05	0.05
4	res_med_R	0	0.3	20	0.07	0.2	4	6	0.35	0.2	0.7	0.05	0.05
5	res_high_R	0	0.3	20	0.07	0.2	4	6	0.35	0.2	0.7	0.05	0.05
6	adm_U	1	0.3	25	0.1	0.3	4	6	0.35	0.2	0.7	0.05	0.05
7	com_U	1	0.3	25	0.1	0.3	4	6	0.35	0.2	0.7	0.05	0.05
8	res_low_U	1	0.3	25	0.1	0.3	4	6	0.35	0.2	0.7	0.05	0.05
9	res_med_U	1	0.3	25	0.1	0.3	4	6	0.35	0.2	0.7	0.05	0.05
10	res_high_U	1	0.3	25	0.1	0.3	4	6	0.35	0.2	0.7	0.05	0.05
