Code	Name	Level	Long_min	Long_max	Lat_min	Lat_max	Num_dep	RegCode_Upstream	Buildings file	CITY	AGRO	FORE	RAGE
RWND	Rwanda	2	28.86	30.9	-2.84	-1.05	5	 	 	0.2679	0.2412	0.4399	0.051
EAST	East	1	29.96	30.9	-2.44	-1.05	7	RWND	 	0.102	0.2814	0.6061	0.0104
BGSR	Bugesera	0	29.96	30.37	-2.44	-2.03	 	EAST	demand/De3-30.tsv	0.2227	0.1352	0.6168	0.0253
GTSB	Gatsibo	0	30.16	30.84	-1.88	-1.46	 	EAST	demand/De3-26.tsv	0	0.0911	0.9019	0.007
KYNZ	Kayonza	0	30.42	30.84	-2.12	-1.6	 	EAST	demand/De3-27.tsv	0.084	0.5388	0.3767	0.0005
KIRE	Kirehe	0	30.46	30.9	-2.42	-1.97	 	EAST	demand/De3-28.tsv	0.002	0.8395	0.1582	0.0003
NGMA	Ngoma	0	30.26	30.66	-2.35	-2.05	 	EAST	demand/De3-29.tsv	0.0002	0.2351	0.7612	0.0035
NYGT	Nyagatare	0	30.07	30.74	-1.55	-1.05	 	EAST	demand/De3-25.tsv	0	0.0215	0.9427	0.0356
RWMG	Rwamagana	0	30.22	30.49	-2.13	-1.82	 	EAST	demand/De3-24.tsv	0.4054	0.1088	0.4852	0.0007
KGL	Kigali	1	29.26	30.28	-2.84	-1.31	3	RWND	 	0.9226	0.0084	0.0679	0.0011
GSBO	Gasabo	0	29.99	30.28	-1.99	-1.78	 	KGL	demand/De3-2.tsv	0.8849	0.0144	0.1006	0
KCKR	Kicukiro	0	30.05	30.24	-2.08	-1.95	 	KGL	demand/De3-3.tsv	0.973	0	0.0238	0.0032
NYRG	Nyarugenge	0	29.98	30.09	-2.08	-1.87	 	KGL	demand/De3-1.tsv	0.91	0.0107	0.0793	0
NORT	North	1	29.26	30.28	-2.84	-1.31	5	RWND	 	0.2582	0.1314	0.5099	0.0581
BURE	Burera	0	29.66	30	-1.61	-1.31	 	NORT	demand/De3-22.tsv	0.271	0.0175	0.6722	0.0126
GKNK	Gakenke	0	29.63	29.93	-1.87	-1.55	 	NORT	demand/De3-20.tsv	0.0468	0.1878	0.5005	0.1747
GCMB	Gicumbi	0	29.94	30.28	-1.85	-1.39	 	NORT	demand/De3-23.tsv	0.2075	0.1843	0.5152	0.093
MSNZ	Musanze	0	29.45	29.77	-1.6	-1.39	 	NORT	demand/De3-21.tsv	0.4813	0	0.5004	0.0065
RLND	Rulindo	0	29.86	30.13	-1.91	-1.59	 	NORT	demand/De3-19.tsv	0.2843	0.2672	0.361	0.0036
WEST	West	1	29.26	30.02	-2.84	-1.73	7	RWND	 	0.1205	0.1723	0.5246	0.1765
KRNG	Karongi	0	29.7	29.97	-2.82	-2.4	 	WEST	demand/De3-12.tsv	0.1649	0.2547	0.5443	0.0361
NGRR	Ngororero	0	29.58	29.85	-2.7	-2.37	 	WEST	demand/De3-16.tsv	0	0.5369	0.4074	0.0557
NYBH	Nyabihu	0	29.78	30.02	-2.2	-1.85	 	WEST	demand/De3-15.tsv	0.0405	0.1132	0.7973	0.0063
NYMS	Nyamasheke	0	29.61	29.82	-2.15	-1.73	 	WEST	demand/De3-18.tsv	0.1866	0.1565	0.1298	0.527
RBVU	Rubavu	0	29.26	29.67	-2.6	-2.2	 	WEST	demand/De3-14.tsv	0.2482	0.0014	0.7487	0.0017
RSZI	Rusizi	0	29.58	29.98	-2.46	-2.23	 	WEST	demand/De3-17.tsv	0.2031	0.0043	0.4122	0.3803
RTSR	Rutsiro	0	29.33	29.75	-2.84	-2.53	 	WEST	demand/De3-13.tsv	0	0.1389	0.6323	0.2284
SOUT	South	1	28.86	29.99	-2.74	-1.51	8	RWND	 	0.1389	0.5185	0.3197	0.0229
GSGR	Gisagara	0	29.56	29.99	-2.29	-2.1	 	SOUT	demand/De3-5.tsv	0.0147	0.3193	0.6561	0.0099
HUYE	Huye	0	29.25	29.62	-2.32	-2.02	 	SOUT	demand/De3-7.tsv	0.2203	0.3601	0.4197	0
KMNY	Kamonyi	0	29.4	29.68	-2.09	-1.72	 	SOUT	demand/De3-11.tsv	0.3483	0.3846	0.2651	0.002
MHNG	Muhanga	0	29.38	29.64	-1.78	-1.51	 	SOUT	demand/De3-10.tsv	0.2647	0.3012	0.3426	0.0915
NYMG	Nyamagabe	0	28.96	29.34	-2.57	-2.15	 	SOUT	demand/De3-8.tsv	0	0.9016	0.0585	0.0399
NYNZ	Nyanza	0	29.24	29.44	-1.77	-1.51	 	SOUT	demand/De3-4.tsv	0.1872	0.3983	0.4073	0.0073
NYRG	Nyaruguru	0	28.86	29.37	-2.74	-2.37	 	SOUT	demand/De3-6.tsv	0	0.8344	0.1332	0.0324
RHNG	Ruhango	0	29.14	29.57	-2.07	-1.73	 	SOUT	demand/De3-9.tsv	0.0759	0.6488	0.2754	0
