LpgArea_Id	SupArea_Name	St2_CAPEX	St2_OPEX_OG	St2_LocalDist	St3_CAPEX	St3_OPEX_OG	St3_LocalDist	St4_CAPEX	St4_OPEX_OG	St4_LocalDist	CAPEX_upstream	OPEX_upstream	LocalDist_upstream	DistTo_bottling	DistTo_warehouse	DistTo_retailer
30	Bugesera	0.0982	7.0483	2	0.2072	9.8033	2	0.2742	16.8363	2	0.8999	0.5646	196.1879	31.7	30.6	133.8879
26	Gatsibo	0.0368	1.9689	2	0.4128	14.3992	2	0.4294	16.3586	2	0.4838	0.5659	378.8014	79.5	51.7	247.6014
27	Kayonza	0.0371	2.0727	2	0.3255	11.6739	2	0.3481	13.7371	2	0.4074	0.4686	315.7984	79.5	2.5	233.7984
28	Kirehe	0.0259	1.2837	2	0.3722	12.5511	2	0.3848	13.8263	2	0.4085	0.4861	404.3815	79.5	64.4	260.4815
29	Ngoma	0.0258	1.1014	2	0.3321	11.2125	2	0.3438	12.3058	2	0.3745	0.4287	378.9738	79.5	37.4	262.0738
25	Nyagatare	0.0656	4.412	2	0.3644	14.3852	2	0.4088	18.7859	2	0.5579	0.6549	366.394	79.5	88.5	198.394
24	Rwamagana	0.0795	5.4784	2	0.2138	9.5372	2	0.2691	15.0018	2	0.4529	0.5134	244.3166	79.5	14	150.8166
2	Gasabo	0.4225	24.976	2	0.0819	5.0943	2	0.5243	30.0769	2	1.7711	1.1623	97.6697	31.4	13.4	52.8697
3	Kicukiro	0.286	16.2738	2	0.0202	0.1543	2	0.2926	16.4259	2	0.9005	0.6406	89.5459	31.7	12.8	45.0459
1	Nyarugenge	0.1985	11.2882	2	0.0372	1.9054	2	0.2402	13.1905	2	0.678	0.5079	63.7426	0	13	50.7426
22	Burera	0.0259	1.1616	2	0.3354	10.0355	2	0.3481	11.1882	2	0.3571	0.453	411.1811	107	48.9	255.2811
20	Gakenke	0.0203	0.426	2	0.3848	10.8541	2	0.3876	11.2741	2	0.3581	0.4544	438.5449	107	44.1	287.4449
23	Gicumbi	0.0203	0.3319	2	0.4346	12.3851	2	0.4421	12.7126	2	0.6596	0.4806	342.2632	0	48.9	293.3632
21	Musanze	0.1183	7.4388	2	0.1598	7.2741	2	0.2475	14.6985	2	0.4783	0.5751	226.5487	107	10.2	109.3487
19	Rulindo	0.0313	1.2945	2	0.3319	9.9649	2	0.346	11.2504	2	0.5709	0.4218	280.4272	0	30.4	250.0272
12	Karongi	0.0258	0.9782	2	0.3191	9.977	2	0.3303	10.947	2	0.3223	0.4209	401.8371	56.2	83.5	262.1371
16	Ngororero	0.0203	0.5008	2	0.3547	10.5157	2	0.3578	11.0099	2	0.3229	0.4148	389.1862	56.2	49.4	283.5862
15	Nyabihu	0.0433	2.3396	2	0.1951	6.8943	2	0.219	9.221	2	0.3011	0.3617	321.5101	107	23.6	190.9101
18	Nyamasheke	0.0258	1.0267	2	0.3334	10.47	2	0.3444	11.4882	2	0.8696	0.4944	564.3365	248	54.2	262.1365
14	Rubavu	0.1233	8.0502	2	0.1354	6.8557	2	0.2348	14.8922	2	0.4823	0.5699	262.4821	107	54.7	100.7821
17	Rusizi	0.0608	3.9276	2	0.216	8.4264	2	0.2506	12.3385	2	0.9446	0.5133	416.2804	248	1.4	166.8804
13	Rutsiro	0.0203	0.5656	2	0.3301	9.9769	2	0.3386	10.536	2	0.3352	0.4205	474.9087	107	88.4	279.5087
5	Gisagara	0.0203	0.4955	2	0.385	11.7823	2	0.3883	12.2716	2	0.3535	0.4529	427.0412	56.2	84.7	286.1412
7	Huye	0.0431	2.5006	2	0.2675	9.5139	2	0.2932	12.0034	2	0.3362	0.4441	342.344	56.2	77	209.144
11	Kamonyi	0.0672	4.4181	2	0.237	9.4506	2	0.2775	13.8547	2	0.399	0.4956	247.8741	56.2	25	166.6741
10	Muhanga	0.0434	2.6166	2	0.2322	8.5396	2	0.2637	11.1451	2	0.3255	0.398	262.2835	56.2	7.7	198.3835
8	Nyamagabe	0.026	1.3073	2	0.302	9.9059	2	0.3151	11.2037	2	0.326	0.427	433.5069	56.2	128	249.3069
4	Nyanza	0.0204	0.6901	2	0.3254	10.1985	2	0.335	10.8818	2	0.3094	0.3948	370.8096	56.2	39.9	274.7096
6	Nyaruguru	0.0203	0.3168	2	0.2831	8.6624	2	0.285	8.9738	2	0.2586	0.3518	477.9228	56.2	133	288.7228
9	Ruhango	0.0259	1.1303	2	0.3148	10.0909	2	0.3273	11.2129	2	0.3587	0.4318	452.11	107	88.4	256.71
