DemandArea_Id;Region;ElArea_Id;LpgArea_Id;Num_Buildings
1;Bugesera;24;30;8202
2;Bugesera;19;30;6805
3;Bugesera;13;30;15589
4;Bugesera;23;30;8800
5;Bugesera;22;30;7727
6;Bugesera;2;30;1171
7;Bugesera;1;30;110
8;Bugesera;21;30;6634
9;Bugesera;5;30;1952
10;Bugesera;14;30;10345
11;Bugesera;17;30;8277
12;Bugesera;11;30;2150
13;Bugesera;6;30;65
14;Bugesera;12;30;4625
15;Bugesera;7;30;5378
16;Bugesera;15;30;8123
17;Bugesera;20;30;13966
18;Bugesera;16;30;4085
19;Bugesera;8;30;5781
20;Bugesera;18;30;9231
21;Bugesera;10;30;6359
22;Bugesera;9;30;3352
23;Gatsibo;123;26;7812
24;Gatsibo;118;26;5817
25;Gatsibo;102;26;3703
26;Gatsibo;119;26;7906
27;Gatsibo;117;26;3988
28;Gatsibo;103;26;3232
29;Gatsibo;100;26;10867
30;Gatsibo;110;26;7662
31;Gatsibo;108;26;8836
32;Gatsibo;109;26;6177
33;Gatsibo;106;26;6808
34;Gatsibo;122;26;4964
35;Gatsibo;41;26;2254
36;Gatsibo;111;26;9274
37;Gatsibo;104;26;4144
38;Gatsibo;120;26;5593
39;Gatsibo;121;26;8020
40;Gatsibo;115;26;90
41;Gatsibo;114;26;131
42;Gatsibo;101;26;2515
43;Gatsibo;112;26;9438
44;Gatsibo;107;26;6133
45;Gatsibo;116;26;260
46;Gatsibo;105;26;519
47;Gatsibo;113;26;344
48;Kayonza;231;27;3269
49;Kayonza;239;27;5233
50;Kayonza;234;27;5310
51;Kayonza;236;27;6163
52;Kayonza;232;27;9061
53;Kayonza;233;27;6840
54;Kayonza;221;27;10655
55;Kayonza;237;27;197
56;Kayonza;222;27;9629
57;Kayonza;226;27;2177
58;Kayonza;238;27;5593
59;Kayonza;235;27;6794
60;Kayonza;229;27;3226
61;Kayonza;227;27;4699
62;Kayonza;224;27;2406
63;Kayonza;586;27;7371
64;Kayonza;228;27;5293
65;Kayonza;181;27;8826
66;Kayonza;225;27;8118
67;Kayonza;223;27;1579
68;Kayonza;230;27;12
69;Kirehe;264;28;9870
70;Kirehe;268;28;8014
71;Kirehe;275;28;9722
72;Kirehe;269;28;5249
73;Kirehe;265;28;7291
74;Kirehe;431;28;1405
75;Kirehe;274;28;6787
76;Kirehe;263;28;12475
77;Kirehe;267;28;9037
78;Kirehe;546;28;733
79;Kirehe;272;28;3952
80;Kirehe;270;28;6122
81;Kirehe;273;28;7243
82;Kirehe;271;28;2471
83;Kirehe;266;28;6087
84;Kirehe;276;28;4502
85;Ngoma;320;29;7808
