DemandArea_Id	Region	ElArea_Id	LpgArea_Id	Area_Type	E_Elast_Demand	Invest_Cap	Will_Pay	Change_Fact	Better_Fact	Worse_Fact	Social_Weight	Health	Time_Gender	Emissions	Deforestation	SocClust_5_Electricity_Weight	SocClust_5_CookingHeating_Weight	SocClust_5_SCP_SocClust_Id	SocClust_5_SCP_SocClust_Name	SocClust_5_SCP_Is_Urban	SocClust_5_SCP_Elasticity	SocClust_5_SCP_Budget	SocClust_5_SCP_WTP	SocClust_5_SCP_Penalty	SocClust_5_SCP_Better	SocClust_5_SCP_Worse	SocClust_5_SCP_Social_weight	SocClust_5_SCP_Health	SocClust_5_SCP_Time_gender	SocClust_5_SCP_Emissions	SocClust_5_SCP_Deforestation	SocClust_4_Electricity_Weight	SocClust_4_CookingHeating_Weight	SocClust_4_SCP_SocClust_Id	SocClust_4_SCP_SocClust_Name	SocClust_4_SCP_Is_Urban	SocClust_4_SCP_Elasticity	SocClust_4_SCP_Budget	SocClust_4_SCP_WTP	SocClust_4_SCP_Penalty	SocClust_4_SCP_Better	SocClust_4_SCP_Worse	SocClust_4_SCP_Social_weight	SocClust_4_SCP_Health	SocClust_4_SCP_Time_gender	SocClust_4_SCP_Emissions	SocClust_4_SCP_Deforestation	SocClust_3_Electricity_Weight	SocClust_3_CookingHeating_Weight	SocClust_3_SCP_SocClust_Id	SocClust_3_SCP_SocClust_Name	SocClust_3_SCP_Is_Urban	SocClust_3_SCP_Elasticity	SocClust_3_SCP_Budget	SocClust_3_SCP_WTP	SocClust_3_SCP_Penalty	SocClust_3_SCP_Better	SocClust_3_SCP_Worse	SocClust_3_SCP_Social_weight	SocClust_3_SCP_Health	SocClust_3_SCP_Time_gender	SocClust_3_SCP_Emissions	SocClust_3_SCP_Deforestation	SocClust_2_Electricity_Weight	SocClust_2_CookingHeating_Weight	SocClust_2_SCP_SocClust_Id	SocClust_2_SCP_SocClust_Name	SocClust_2_SCP_Is_Urban	SocClust_2_SCP_Elasticity	SocClust_2_SCP_Budget	SocClust_2_SCP_WTP	SocClust_2_SCP_Penalty	SocClust_2_SCP_Better	SocClust_2_SCP_Worse	SocClust_2_SCP_Social_weight	SocClust_2_SCP_Health	SocClust_2_SCP_Time_gender	SocClust_2_SCP_Emissions	SocClust_2_SCP_Deforestation	SocClust_1_Electricity_Weight	SocClust_1_CookingHeating_Weight	SocClust_1_SCP_SocClust_Id	SocClust_1_SCP_SocClust_Name	SocClust_1_SCP_Is_Urban	SocClust_1_SCP_Elasticity	SocClust_1_SCP_Budget	SocClust_1_SCP_WTP	SocClust_1_SCP_Penalty	SocClust_1_SCP_Better	SocClust_1_SCP_Worse	SocClust_1_SCP_Social_weight	SocClust_1_SCP_Health	SocClust_1_SCP_Time_gender	SocClust_1_SCP_Emissions	SocClust_1_SCP_Deforestation	SocClust_9_Electricity_Weight	SocClust_9_CookingHeating_Weight	SocClust_9_SCP_SocClust_Id	SocClust_9_SCP_SocClust_Name	SocClust_9_SCP_Is_Urban	SocClust_9_SCP_Elasticity	SocClust_9_SCP_Budget	SocClust_9_SCP_WTP	SocClust_9_SCP_Penalty	SocClust_9_SCP_Better	SocClust_9_SCP_Worse	SocClust_9_SCP_Social_weight	SocClust_9_SCP_Health	SocClust_9_SCP_Time_gender	SocClust_9_SCP_Emissions	SocClust_9_SCP_Deforestation	SocClust_8_Electricity_Weight	SocClust_8_CookingHeating_Weight	SocClust_8_SCP_SocClust_Id	SocClust_8_SCP_SocClust_Name	SocClust_8_SCP_Is_Urban	SocClust_8_SCP_Elasticity	SocClust_8_SCP_Budget	SocClust_8_SCP_WTP	SocClust_8_SCP_Penalty	SocClust_8_SCP_Better	SocClust_8_SCP_Worse	SocClust_8_SCP_Social_weight	SocClust_8_SCP_Health	SocClust_8_SCP_Time_gender	SocClust_8_SCP_Emissions	SocClust_8_SCP_Deforestation	SocClust_10_Electricity_Weight	SocClust_10_CookingHeating_Weight	SocClust_10_SCP_SocClust_Id	SocClust_10_SCP_SocClust_Name	SocClust_10_SCP_Is_Urban	SocClust_10_SCP_Elasticity	SocClust_10_SCP_Budget	SocClust_10_SCP_WTP	SocClust_10_SCP_Penalty	SocClust_10_SCP_Better	SocClust_10_SCP_Worse	SocClust_10_SCP_Social_weight	SocClust_10_SCP_Health	SocClust_10_SCP_Time_gender	SocClust_10_SCP_Emissions	SocClust_10_SCP_Deforestation	SocClust_7_Electricity_Weight	SocClust_7_CookingHeating_Weight	SocClust_7_SCP_SocClust_Id	SocClust_7_SCP_SocClust_Name	SocClust_7_SCP_Is_Urban	SocClust_7_SCP_Elasticity	SocClust_7_SCP_Budget	SocClust_7_SCP_WTP	SocClust_7_SCP_Penalty	SocClust_7_SCP_Better	SocClust_7_SCP_Worse	SocClust_7_SCP_Social_weight	SocClust_7_SCP_Health	SocClust_7_SCP_Time_gender	SocClust_7_SCP_Emissions	SocClust_7_SCP_Deforestation	SocClust_6_Electricity_Weight	SocClust_6_CookingHeating_Weight	SocClust_6_SCP_SocClust_Id	SocClust_6_SCP_SocClust_Name	SocClust_6_SCP_Is_Urban	SocClust_6_SCP_Elasticity	SocClust_6_SCP_Budget	SocClust_6_SCP_WTP	SocClust_6_SCP_Penalty	SocClust_6_SCP_Better	SocClust_6_SCP_Worse	SocClust_6_SCP_Social_weight	SocClust_6_SCP_Health	SocClust_6_SCP_Time_gender	SocClust_6_SCP_Emissions	SocClust_6_SCP_Deforestation
1	Bugesera	24	30	rural	0.30000000000003524	20.00000000000193	0.07000000000000675	0.20000000000001925	4.0000000000003855	6.000000000000578	0.3500000000000337	0.20000000000001925	0.7000000000000673	0.05000000000000481	0.05000000000000481	318863.25000000454	1863769.9410000253	5.0	res_high_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	86527.72499999849	4316002.923000118	4.0	res_med_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	32616.825000000532	1626927.231000022	3.0	res_low_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	770677.5	162146.16300000003	2.0	com_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	268458.75	133907.22449999998	1.0	adm_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05																																																																																
1	Bugesera	24	30	urban	0.29999999999998844	25.000000000002036	0.10000000000000815	0.30000000000002436	4.000000000000326	6.000000000000488	0.3500000000000285	0.2000000000000163	0.700000000000057	0.050000000000004076	0.050000000000004076																																																																																	89741.92499999798	4476327.219000084	9.0	res_med_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	32616.825000000532	1626927.231000022	8.0	res_low_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	211333.65000000162	1237047.6930000028	10.0	res_high_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	146100.0	36437.340000000004	7.0	com_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	235586.25	117510.42150000001	6.0	adm_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05
2	Bugesera	19	30	rural	0.2999999999999729	19.999999999999325	0.06999999999999765	0.1999999999999933	3.999999999999865	5.9999999999997975	0.34999999999998815	0.1999999999999933	0.6999999999999763	0.049999999999998324	0.049999999999998324	230838.00000000233	1368222.1170000092	5.0	res_high_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	142009.19999998965	7083418.895999541	4.0	res_med_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	57088.5750000015	2847578.1210000794	3.0	res_low_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	5851305.0	0.0	2.0	com_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	7202730.0	5596775.424	1.0	adm_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05																																																																																
2	Bugesera	19	30	urban	0.30000000000000443	25.00000000000008	0.10000000000000032	0.300000000000001	4.000000000000013	6.00000000000002	0.35000000000000114	0.20000000000000065	0.7000000000000023	0.05000000000000016	0.05000000000000016																																																																																	9715.649999999952	484616.6220000032	9.0	res_med_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	11322.749999999936	564778.770000003	8.0	res_low_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	16655.40000000001	98380.81799999993	10.0	res_high_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	1515787.5	18218.670000000002	7.0	com_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	1537702.5	38259.207	6.0	adm_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05
3	Bugesera	13	30	rural	0.2999999999999903	20.00000000000123	0.07000000000000432	0.2000000000000123	4.000000000000247	6.0000000000003695	0.35000000000002146	0.2000000000000123	0.7000000000000429	0.05000000000000308	0.05000000000000308	367952.8500000054	2109721.9860000345	5.0	res_high_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	68374.80000000139	3410535.024000106	4.0	res_med_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	11140.124999999938	555669.4350000032	3.0	res_low_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05																	147926.25	73785.6135	1.0	adm_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05																																																																																
3	Bugesera	13	30	urban	0.30000000000002036	25.000000000003855	0.10000000000001544	0.30000000000004634	4.000000000000618	6.000000000000926	0.350000000000054	0.20000000000003088	0.700000000000108	0.05000000000000772	0.05000000000000772																																																																																	272987.8499999774	13616633.95800085	9.0	res_med_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	62969.10000000174	3140898.7080000932	8.0	res_low_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	1127745.8999999464	6476737.184999758	10.0	res_high_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	101539.5	74696.547	7.0	com_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	2200631.25	204960.03749999995	6.0	adm_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05
4	Bugesera	23	30	rural	0.29999999999995647	19.99999999999772	0.06999999999999203	0.1999999999999772	3.999999999999544	5.999999999999316	0.34999999999996007	0.1999999999999772	0.6999999999999201	0.0499999999999943	0.0499999999999943	295341.15000000375	1708911.246000021	5.0	res_high_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	116222.54999999376	5797180.793999809	4.0	res_med_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	41601.975000000886	2075106.513000043	3.0	res_low_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	2191500.0	582997.4400000001	2.0	com_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	7131506.25	5561249.017500001	1.0	adm_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05																																																																																
4	Bugesera	23	30	urban	0.2999999999999793	25.00000000000219	0.10000000000000878	0.30000000000002636	4.000000000000352	6.000000000000527	0.35000000000003073	0.20000000000001755	0.7000000000000615	0.05000000000000439	0.05000000000000439																																																																																	73159.57500000062	3649199.601000117	9.0	res_med_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	41930.7000000009	2091503.3160000439	8.0	res_low_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	154281.59999999995	907289.765999998	10.0	res_high_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	110305.5	51012.276	7.0	com_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	241065.0	426316.878	6.0	adm_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05
5	Bugesera	22	30	rural	0.30000000000000165	20.00000000000016	0.07000000000000059	0.20000000000000165	4.000000000000032	6.00000000000005	0.3500000000000028	0.20000000000000165	0.7000000000000056	0.05000000000000041	0.05000000000000041	281826.900000003	1639680.300000015	5.0	res_high_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	121518.67499999292	6061351.508999754	4.0	res_med_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	30827.10000000046	1537655.7480000178	3.0	res_low_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	785287.5	200405.37000000002	2.0	com_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	5710683.75	5723395.1805	1.0	adm_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05																																																																																
5	Bugesera	22	30	urban	0.30000000000001603	25.00000000000065	0.10000000000000261	0.3000000000000078	4.000000000000105	6.000000000000157	0.35000000000000914	0.20000000000000523	0.7000000000000183	0.05000000000000131	0.05000000000000131																																																																																	60339.30000000163	3009724.284000087	9.0	res_med_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	23960.400000000187	1195144.7520000017	8.0	res_low_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	142301.3999999996	827127.6179999998	10.0	res_high_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	62092.5	18218.670000000002	7.0	com_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	1554138.75	46457.6085	6.0	adm_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05
6	Bugesera	2	30	rural	0.30000000000000177	19.999999999999673	0.06999999999999887	0.19999999999999674	3.9999999999999347	5.999999999999903	0.3499999999999943	0.19999999999999674	0.6999999999999886	0.049999999999999184	0.049999999999999184	182259.75000000015	1003848.7170000017	5.0	res_high_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	21257.55000000008	1060326.5939999954	4.0	res_med_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05	1826.2500000000016	91093.34999999993	3.0	res_low_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05																	27393.75	13664.0025	1.0	adm_R	0.0	0.3	20.0	0.07	0.2	4.0	6.0	0.35	0.2	0.7	0.05	0.05																																																																																
6	Bugesera	2	30	urban	0.30000000000000027	25.000000000000004	0.1	0.30000000000000004	4.000000000000001	6.0	0.35000000000000003	0.2	0.7000000000000001	0.05	0.05																																																																																	1570.575000000001	78340.28099999994	9.0	res_med_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	219.15	10931.202	8.0	res_low_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05	14317.800000000007	78340.28099999996	10.0	res_high_U	1.0	0.3	25.0	0.1	0.3	4.0	6.0	0.35	0.2	0.7	0.05	0.05																																
