DemandArea_Id	Region	ElArea_Id	LpgArea_Id	Area_Type	AGRO	CITY	FORE	RAGE
1	Bugesera	24	30	rural	0.3979698822409896	0.11162814321398834	0.3575823956226954	0.13281957892232663
1	Bugesera	24	30	urban	0.3422233153469695	0.11634177437570586	0.30929833103275195	0.2321365792445727
2	Bugesera	19	30	rural	0.4442578969558985	0.11590390420777469	0.3219402647778059	0.11789793405852095
2	Bugesera	19	30	urban	0.5565415481832543	0.11135	0.3084	0.023708451816745656
3	Bugesera	13	30	rural	0.1751101277656591	0.2021882673730134	0.3534296042380804	0.26927200062324713
3	Bugesera	13	30	urban	0.13104911147011308	0.3058976575121163	0.3084403877221325	0.25461284329563816
4	Bugesera	23	30	rural	0.43204655697745276	0.11872007921998781	0.4052583384115377	0.04397502539102173
4	Bugesera	23	30	urban	0.4836916367651118	0.14157357162572454	0.34262577974054653	0.03210901186861717
5	Bugesera	22	30	rural	0.34588868452618954	0.1149485605757697	0.3121984806077569	0.22696427429028387
5	Bugesera	22	30	urban	0.333532758304276	0.11981235089007158	0.3174490732244449	0.2292058175812076
6	Bugesera	2	30	rural	0.21663403863845446	0.12100961361545538	0.3084	0.35395634774609014
6	Bugesera	2	30	urban	0.10926666666666665	0.11135	0.3084	0.4709833333333333
7	Bugesera	1	30	rural	0.3221454545454545	0.11135	0.3084	0.2581045454545455
7	Bugesera	1	30	urban	0.1352	0.2227	0.6168	0.0253
8	Bugesera	21	30	rural	0.43961873935264056	0.20536618398637138	0.3084	0.046615076660988075
8	Bugesera	21	30	urban	0.100365737874097	0.5432385448916408	0.3084	0.04799571723426213
9	Bugesera	5	30	rural	0.4221531197301855	0.11135	0.3109295109612142	0.15556736930860032
9	Bugesera	5	30	urban	0.5676	0.11135	0.3084	0.01265
10	Bugesera	14	30	rural	0.5164778054862843	0.14587906196048342	0.3084	0.029243132553232305
10	Bugesera	14	30	urban	0.3974908807482463	0.2814591192517537	0.3084	0.01265
11	Bugesera	17	30	rural	0.437016164554332	0.23040256596717223	0.31993126947849576	0.01265
11	Bugesera	17	30	urban	0.1693609699769053	0.5080012702078522	0.3099877598152425	0.01265
12	Bugesera	11	30	rural	0.552571211761916	0.11296070666350486	0.3128610860801518	0.021606995494427315
12	Bugesera	11	30	urban	0.43123636363636364	0.11135	0.3084	0.14901363636363635
13	Bugesera	6	30	rural	0.1301	0.1426	0.480275	0.247025
13	Bugesera	6	30	urban	0.0676	0.6113500000000001	0.3084	0.01265
14	Bugesera	12	30	rural	0.566263697104677	0.11235222717149221	0.30851135857461026	0.012872717149220489
14	Bugesera	12	30	urban	0.49722962962962963	0.17801666666666666	0.3084	0.016353703703703704
15	Bugesera	7	30	rural	0.5624162111215835	0.11135000000000002	0.3131125353440151	0.01312125353440151
15	Bugesera	7	30	urban	0.5512860670194004	0.12545934744268078	0.3084	0.014854585537918871
16	Bugesera	15	30	rural	0.5003868852459017	0.11135	0.3349807962529274	0.05328231850117096
16	Bugesera	15	30	urban	0.5655236958214378	0.11135	0.3084	0.014726304178562159
17	Bugesera	20	30	rural	0.5028610343562783	0.16673574397848148	0.3084	0.022003221665240248
17	Bugesera	20	30	urban	0.2588044237083117	0.42005917573872475	0.3084	0.012736400552963538
18	Bugesera	16	30	rural	0.45340168238592915	0.11135	0.39927433086923275	0.035973986744838135
18	Bugesera	16	30	urban	0.5676	0.11135	0.3084	0.01265
19	Bugesera	8	30	rural	0.535536302991177	0.11156519259737466	0.34024850441144827	0.01265
19	Bugesera	8	30	urban	0.5676	0.11135	0.3084	0.01265
20	Bugesera	18	30	rural	0.4003508736894658	0.27834950074887665	0.30864962556165754	0.01265
20	Bugesera	18	30	urban	0.08482468179302712	0.5939177919203099	0.308607526286663	0.01265
21	Bugesera	10	30	rural	0.42840441640378546	0.22057712933753942	0.33836845425867507	0.01265
21	Bugesera	10	30	urban	0.07047732147528118	0.6084726785247188	0.3084	0.01265
22	Bugesera	9	30	rural	0.5052628209899517	0.11135	0.3084	0.07498717901004838
22	Bugesera	9	30	urban	0.542787969924812	0.11135	0.3084	0.03746203007518797
23	Gatsibo	123	26	rural	0.54555	0.0	0.45095	0.0035
23	Gatsibo	123	26	urban	0.54555	0.0	0.45095	0.0035
24	Gatsibo	118	26	rural	0.54555	0.0	0.45095	0.0035
24	Gatsibo	118	26	urban	0.54555	0.0	0.45095	0.0035
25	Gatsibo	102	26	rural	0.54555	0.0	0.45095	0.0035
25	Gatsibo	102	26	urban	0.54555	0.0	0.45095	0.0035
26	Gatsibo	119	26	rural	0.5404446620137004	0.0	0.45095	0.008605337986299599
