DemandArea_Id	Region	ElArea_Id	LpgArea_Id	Area_Type	Aggregated_Point_Lat	Aggregated_Point_Long	Census_Electricity_Demand	Census_CookingHeating_Demand	Census_Cooking_Demand	Census_Heating_Demand
1	Bugesera	24	30	rural	-2.245727266255339	30.237983768391075	1477144.04999983	8102753.482499384	7452973.73249997	649779.7499999494
1	Bugesera	24	30	urban	-2.2371733303362213	30.23280398265307	715378.6500000276	7494249.904499499	6893267.554499973	600982.349999956
2	Bugesera	19	30	rural	-2.376699481529488	30.124017514581983	13483970.775001211	16895994.5580002	15541063.15800112	1354931.3999999054
2	Bugesera	19	30	urban	-2.375946287519747	30.134301579778832	3091183.799999954	1204254.0870000022	1107681.9869999962	96572.1000000007
3	Bugesera	13	30	rural	-2.2096248987223435	30.175038952944842	595394.025000026	6149712.058499765	5656551.508499977	493160.5499999734
3	Bugesera	13	30	urban	-2.199756808939342	30.17665784269854	3765873.59999967	23513926.43549707	21628286.7855069	1885639.6500003855
4	Bugesera	23	30	rural	-2.3195883136951903	30.261737338226773	9776171.925001418	15725445.010501668	14464382.86050307	1261062.1500000523
4	Bugesera	23	30	urban	-2.2831768147943694	30.25594468672371	620742.3750000444	7125321.836999534	6553924.736999975	571397.0999999586
5	Bugesera	22	30	rural	-2.1344529788084765	30.22003586565374	6930143.924999958	15162488.107499663	13946570.857500248	1215917.2499999646
5	Bugesera	22	30	urban	-2.14701471559633	30.211078788990825	1842832.349999903	5096672.932499955	4687958.182499981	408714.7499999853
6	Bugesera	2	30	rural	-2.153784544618215	30.150359889604417	232737.29999999882	2168932.6635000324	1995000.6134999923	173932.05000000342
6	Bugesera	2	30	urban	-2.177829761904762	30.15579285714286	16107.524999999994	167611.76399999988	154170.56400000016	13441.20000000002
7	Bugesera	1	30	rural	-2.134999090909091	30.172675454545452	17057.175	209514.70499999984	192713.20500000013	16801.500000000025
7	Bugesera	1	30	urban			0.0	0.0	0.0	0.0
8	Bugesera	21	30	rural	-2.142235136286201	30.133957687393522	1105648.2749999953	9576643.885499762	8808669.235500136	767974.6499999413
8	Bugesera	21	30	urban	-2.157532404540764	30.120206604747164	1183519.5749999622	3986244.996000115	3666578.1959999856	319666.79999999906
9	Bugesera	5	30	rural	-2.100519730185497	30.20149797639123	1552531.6499999363	2186240.4000000465	2010920.399999992	175320.00000000384
9	Bugesera	5	30	urban	-2.0998791122715406	30.191188772845955	129261.97499999625	1438363.9965000127	1323018.046499995	115345.95000000147
10	Bugesera	14	30	rural	-2.085776827162862	30.16463704201036	7547525.999999877	15861174.101999812	14589227.502000473	1271946.5999999258
10	Bugesera	14	30	urban	-2.074855962587685	30.1522779228371	630275.4000000439	9566623.61699964	8799452.51700018	767171.0999999297
11	Bugesera	17	30	rural	-2.0901874922086017	30.068863307708288	6083019.600000174	9785247.656999724	9000544.557000212	784703.0999999337
11	Bugesera	17	30	urban	-2.084438741339492	30.08464405311778	650145.0000000349	6856596.454499684	6306749.104499973	549847.3499999684
12	Bugesera	11	30	rural	-2.340984291725105	30.08913543712015	4700329.199999984	4000819.932000131	3679984.3319999846	320835.5999999986
12	Bugesera	11	30	urban	-2.3038181818181815	30.07906363636364	1424.475	20040.536999999997	18433.437	1607.0999999999997
13	Bugesera	6	30	rural	-2.28358125	30.1612765625	1467391.8749999984	116599.48799999991	107249.08800000016	9350.40000000001
13	Bugesera	6	30	urban	-2.2291	30.1683	36.525	1821.867	1675.767	146.1
14	Bugesera	12	30	rural	-2.276358285077951	30.116289688195987	417261.60000002745	8297693.251499302	7632280.801499968	665412.4499999436
14	Bugesera	12	30	urban	-2.2493385185185186	30.115651111111113	42003.750000000044	263259.7814999998	242148.33149999983	21111.44999999998
15	Bugesera	7	30	rural	-2.261909189443921	30.05694698397738	527165.325000036	7912368.380999402	7277856.08099997	634512.2999999499
15	Bugesera	7	30	urban	-2.2536125220458554	30.06592486772487	170973.52499999723	2128851.589500043	1958133.7394999922	170717.8500000036
16	Bugesera	15	30	rural	-2.3044828337236534	30.013050023419204	1969281.8999996753	7944251.053499393	7307182.003499969	637069.0499999494
16	Bugesera	15	30	urban	-2.3051602387749806	30.045964547106152	2249246.0249999724	7315706.93849953	6729042.388499972	586664.549999958
17	Bugesera	20	30	rural	-2.20295415087419	30.08565460325223	6482274.37500003	16939719.36600102	15581281.566003025	1358437.8000000264
17	Bugesera	20	30	urban	-2.185731449801279	30.105305097632623	1369906.6499999592	11441324.759999992	10523816.760000883	917507.9999999085
18	Bugesera	16	30	rural	-2.251443359673719	30.00430856487382	1251602.174999882	7594452.589499466	6985434.739499973	609017.8499999575
18	Bugesera	16	30	urban	-2.271775925925926	30.0065	101466.44999999924	336134.46150000097	309179.0114999995	26955.44999999992
19	Bugesera	8	30	rural	-2.180974499677211	30.018435657413388	601822.4250000429	8724010.129499393	8024410.279499967	699599.8499999387
19	Bugesera	8	30	urban	-2.190393818965667	30.021793696147846	154683.37499999738	2125207.8555000443	1954782.2054999922	170425.65000000354
20	Bugesera	18	30	rural	-2.1421136295556664	30.08257883175237	1901162.7749999308	4456286.682000083	4098926.0819999846	357360.59999999637
20	Bugesera	18	30	urban	-2.141763500260026	30.09257270034648	6651202.500000415	17170185.54150055	15793266.091502385	1376919.4500000237
21	Bugesera	10	30	rural	-2.124381072555205	30.04829195583596	2858629.124999885	5638678.36499991	5186498.864999981	452179.49999998655
21	Bugesera	10	30	urban	-2.1205418519487313	30.07074990844886	837372.1500000269	7649108.599499552	7035707.749499971	613400.8499999592
22	Bugesera	9	30	rural	-2.331521808708597	30.055207108299218	1980787.2749998246	5150418.008999967	4737393.308999981	413024.6999999862
22	Bugesera	9	30	urban	-2.3215219121679564	30.05516162009762	224665.27499999816	1295347.4370000053	1191470.3369999959	103877.1000000009
23	Gatsibo	123	26	rural	-1.8033993415145164	30.350129048189164	4135616.1749996995	12794971.941000575	11768911.641001696	1026060.2999998936
23	Gatsibo	123	26	urban	-1.7893797345132743	30.400625486725662	210858.82499999722	2132495.3235000432	1961485.2734999924	171010.0500000035
24	Gatsibo	118	26	rural	-1.8024226521344233	30.327256112624887	2760632.5499997726	10493042.986499941	9651580.036500653	841462.9499999208
24	Gatsibo	118	26	urban	-1.7937820512820513	30.40707147435898	22645.500000000095	572066.2380000029	526190.8379999986	45875.39999999974
25	Gatsibo	102	26	rural	-1.835373876327976	30.362158839553256	2111473.7249997808	6961353.806999575	6403105.706999973	558248.0999999621
25	Gatsibo	102	26	urban	-1.767434375	30.384778125	2958.525000000002	61943.47799999996	56976.078	4967.400000000001
26	Gatsibo	119	26	rural	-1.7423430270130542	30.321677097066047	7581055.950001445	15134249.169001248	13920596.469002776	1213652.6999999979
26	Gatsibo	119	26	urban	-1.748878698224852	30.378237869822485	842777.8500000009	499191.55800000153	459160.1579999995	40031.399999999914
27	Gatsibo	117	26	rural	-1.653514903671392	30.333711850236277	1760176.2749999312	5090296.397999962	4682092.997999981	408203.399999985
27	Gatsibo	117	26	urban	-1.6246863379143088	30.384145594179465	348886.800000005	2530573.2630000515	2327640.362999992	202932.90000000407
28	Gatsibo	103	26	rural	-1.599369390060241	30.24973057228916	298117.049999995	4932704.9024999915	4537139.152499981	395565.7499999863
28	Gatsibo	103	26	urban	-1.6116133680555556	30.391046527777778	54203.10000000052	1073079.6629999964	987026.7629999965	86052.90000000031
