DemandArea_Id	Region	ElArea_Id	LpgArea_Id	SocClust_Id	Area_Type	Electricity_Demand	CookingHeating_Demand
1	Bugesera	24	30	5	rural	318863.25000000454	1863769.9410000253
1	Bugesera	24	30	4	rural	86527.72499999849	4316002.923000118
1	Bugesera	24	30	3	rural	32616.825000000532	1626927.231000022
1	Bugesera	24	30	9	urban	89741.92499999798	4476327.219000084
1	Bugesera	24	30	8	urban	32616.825000000532	1626927.231000022
1	Bugesera	24	30	10	urban	211333.65000000162	1237047.6930000028
1	Bugesera	24	30	2	rural	770677.5	162146.16300000003
1	Bugesera	24	30	7	urban	146100.0	36437.340000000004
1	Bugesera	24	30	1	rural	268458.75	133907.22449999998
1	Bugesera	24	30	6	urban	235586.25	117510.42150000001
2	Bugesera	19	30	3	rural	57088.5750000015	2847578.1210000794
2	Bugesera	19	30	4	rural	142009.19999998965	7083418.895999541
2	Bugesera	19	30	5	rural	230838.00000000233	1368222.1170000092
2	Bugesera	19	30	1	rural	7202730.0	5596775.424
2	Bugesera	19	30	2	rural	5851305.0	0.0
2	Bugesera	19	30	8	urban	11322.749999999936	564778.770000003
2	Bugesera	19	30	9	urban	9715.649999999952	484616.6220000032
2	Bugesera	19	30	6	urban	1537702.5	38259.207
2	Bugesera	19	30	10	urban	16655.40000000001	98380.81799999993
2	Bugesera	19	30	7	urban	1515787.5	18218.670000000002
3	Bugesera	13	30	3	rural	11140.124999999938	555669.4350000032
3	Bugesera	13	30	4	rural	68374.80000000139	3410535.024000106
3	Bugesera	13	30	5	rural	367952.8500000054	2109721.9860000345
3	Bugesera	13	30	9	urban	272987.8499999774	13616633.95800085
3	Bugesera	13	30	8	urban	62969.10000000174	3140898.7080000932
3	Bugesera	13	30	10	urban	1127745.8999999464	6476737.184999758
3	Bugesera	13	30	1	rural	147926.25	73785.6135
3	Bugesera	13	30	6	urban	2200631.25	204960.03749999995
3	Bugesera	13	30	7	urban	101539.5	74696.547
4	Bugesera	23	30	5	rural	295341.15000000375	1708911.246000021
4	Bugesera	23	30	4	rural	116222.54999999376	5797180.793999809
4	Bugesera	23	30	3	rural	41601.975000000886	2075106.513000043
4	Bugesera	23	30	9	urban	73159.57500000062	3649199.601000117
4	Bugesera	23	30	8	urban	41930.7000000009	2091503.3160000439
4	Bugesera	23	30	10	urban	154281.59999999995	907289.765999998
4	Bugesera	23	30	7	urban	110305.5	51012.276
4	Bugesera	23	30	6	urban	241065.0	426316.878
4	Bugesera	23	30	1	rural	7131506.25	5561249.017500001
4	Bugesera	23	30	2	rural	2191500.0	582997.4400000001
5	Bugesera	22	30	4	rural	121518.67499999292	6061351.508999754
5	Bugesera	22	30	5	rural	281826.900000003	1639680.300000015
5	Bugesera	22	30	3	rural	30827.10000000046	1537655.7480000178
5	Bugesera	22	30	9	urban	60339.30000000163	3009724.284000087
5	Bugesera	22	30	10	urban	142301.3999999996	827127.6179999998
5	Bugesera	22	30	8	urban	23960.400000000187	1195144.7520000017
5	Bugesera	22	30	6	urban	1554138.75	46457.6085
5	Bugesera	22	30	1	rural	5710683.75	5723395.1805
5	Bugesera	22	30	2	rural	785287.5	200405.37000000002
5	Bugesera	22	30	7	urban	62092.5	18218.670000000002
6	Bugesera	2	30	4	rural	21257.55000000008	1060326.5939999954
6	Bugesera	2	30	3	rural	1826.2500000000016	91093.34999999993
6	Bugesera	2	30	9	urban	1570.575000000001	78340.28099999994
6	Bugesera	2	30	5	rural	182259.75000000015	1003848.7170000017
6	Bugesera	2	30	8	urban	219.15	10931.202
6	Bugesera	2	30	10	urban	14317.800000000007	78340.28099999996
6	Bugesera	2	30	1	rural	27393.75	13664.0025
7	Bugesera	1	30	4	rural	2081.925000000002	103846.41899999992
7	Bugesera	1	30	5	rural	14536.95	83805.88199999994
7	Bugesera	1	30	3	rural	438.2999999999999	21862.403999999995
8	Bugesera	21	30	9	urban	37109.40000000071	1851016.8720000326
8	Bugesera	21	30	3	rural	9496.499999999955	473685.420000003
8	Bugesera	21	30	5	rural	884635.4999999866	4796975.8110000575
8	Bugesera	21	30	4	rural	84774.52499999877	4228553.307000136
8	Bugesera	21	30	8	urban	12235.874999999927	610325.4450000023
8	Bugesera	21	30	10	urban	234198.30000000107	1282594.3680000056
8	Bugesera	21	30	6	urban	65745.0	32793.60600000001
8	Bugesera	21	30	1	rural	126011.25	62854.41150000001
8	Bugesera	21	30	7	urban	834231.0	209514.70500000002
8	Bugesera	21	30	2	rural	730.5	14574.936
9	Bugesera	5	30	4	rural	30060.07500000043	1499396.541000016
9	Bugesera	5	30	3	rural	8802.524999999961	439069.9470000025
9	Bugesera	5	30	5	rural	41711.549999999974	242308.3109999998
9	Bugesera	5	30	8	urban	9569.549999999954	477329.15400000307
9	Bugesera	5	30	10	urban	21330.600000000013	122065.08899999992
9	Bugesera	5	30	9	urban	16180.574999999888	807087.080999999
9	Bugesera	5	30	7	urban	54787.5	18218.670000000002
9	Bugesera	5	30	6	urban	27393.75	13664.0025
9	Bugesera	5	30	2	rural	1461000.0	0.0
9	Bugesera	5	30	1	rural	10957.5	5465.601000000001
10	Bugesera	14	30	9	urban	109684.5749999948	5471066.600999877
10	Bugesera	14	30	10	urban	201398.8500000013	1169638.6140000026
10	Bugesera	14	30	8	urban	56211.97500000147	2803853.3130000774
10	Bugesera	14	30	3	rural	38095.57500000075	1900207.281000035
10	Bugesera	14	30	4	rural	122541.37499999275	6112363.784999743
10	Bugesera	14	30	5	rural	297386.55000000226	1688870.7090000117
10	Bugesera	14	30	6	urban	208192.5	103846.41900000001
10	Bugesera	14	30	2	rural	1461000.0	291498.72000000003
10	Bugesera	14	30	1	rural	5628502.5	5868233.607
10	Bugesera	14	30	7	urban	54787.5	18218.670000000002
11	Bugesera	17	30	5	rural	699599.8499999942	3751224.1530000954
11	Bugesera	17	30	4	rural	97960.04999999667	4886247.293999999
11	Bugesera	17	30	3	rural	18554.69999999997	925508.435999997
11	Bugesera	17	30	8	urban	30936.675000000465	1543121.349000018
11	Bugesera	17	30	9	urban	62129.025000001704	3098995.7670000913
11	Bugesera	17	30	10	urban	401848.05000000267	2140693.7250000206
11	Bugesera	17	30	2	rural	3685372.5	162146.16300000003
11	Bugesera	17	30	1	rural	1581532.5	60121.611000000004
11	Bugesera	17	30	6	urban	147926.25	73785.6135
11	Bugesera	17	30	7	urban	7305.0	0.0
12	Bugesera	11	30	4	rural	46350.225000001075	2311949.2230000542
12	Bugesera	11	30	3	rural	22243.72500000012	1109517.0029999977
12	Bugesera	11	30	2	rural	2922000.0	0.0
12	Bugesera	11	30	5	rural	84372.74999999968	497369.69100000267
12	Bugesera	11	30	1	rural	1625362.5	81984.015
12	Bugesera	11	30	9	urban	219.15	10931.202
12	Bugesera	11	30	10	urban	1168.8	7287.468
12	Bugesera	11	30	8	urban	36.525	1821.867
13	Bugesera	6	30	4	rural	876.5999999999997	43724.807999999975
13	Bugesera	6	30	5	rural	4602.15	27328.00499999999
13	Bugesera	6	30	3	rural	913.1249999999997	45546.674999999974
13	Bugesera	6	30	1	rural	1461000.0	0.0
13	Bugesera	6	30	9	urban	36.525	1821.867
14	Bugesera	12	30	4	rural	106068.59999999538	5290701.7679999145
14	Bugesera	12	30	3	rural	41857.6500000009	2087859.5820000437
14	Bugesera	12	30	5	rural	146976.59999999971	861743.0909999987
14	Bugesera	12	30	1	rural	115053.75	57388.81050000001
14	Bugesera	12	30	9	urban	2556.750000000003	127530.6899999999
14	Bugesera	12	30	10	urban	10884.45	63765.344999999965
14	Bugesera	12	30	8	urban	1168.8	58299.74399999996
14	Bugesera	12	30	6	urban	27393.75	13664.0025
14	Bugesera	12	30	2	rural	7305.0	0.0
15	Bugesera	7	30	4	rural	95622.44999999704	4769647.806000023
15	Bugesera	7	30	3	rural	39045.225000000784	1947575.823000037
15	Bugesera	7	30	5	rural	187957.65000000084	1096763.933999998
15	Bugesera	7	30	8	urban	16326.674999999886	814374.5489999988
15	Bugesera	7	30	9	urban	20673.150000000056	1031176.7219999952
15	Bugesera	7	30	10	urban	40834.94999999998	236842.70999999982
15	Bugesera	7	30	1	rural	197235.0	98380.818
15	Bugesera	7	30	6	urban	93138.75	46457.6085
15	Bugesera	7	30	2	rural	7305.0	0.0
16	Bugesera	15	30	3	rural	39520.0500000008	1971260.0940000382
16	Bugesera	15	30	5	rural	205051.3500000014	1206075.9540000034
16	Bugesera	15	30	4	rural	93869.24999999732	4682198.190000041
16	Bugesera	15	30	8	urban	59280.07500000159	2956890.1410000846
16	Bugesera	15	30	9	urban	64868.40000000181	3235635.7920000977
16	Bugesera	15	30	10	urban	158226.30000000002	901824.1649999991
16	Bugesera	15	30	6	urban	1762331.25	150304.0275
16	Bugesera	15	30	1	rural	1630841.25	84716.8155
16	Bugesera	15	30	7	urban	204540.0	71052.81300000001
17	Bugesera	20	30	4	rural	169329.8999999853	8446175.411999285
17	Bugesera	20	30	5	rural	862866.5999999912	4795153.944000059
17	Bugesera	20	30	3	rural	48030.37500000114	2395755.105000058
17	Bugesera	20	30	9	urban	106689.52499999528	5321673.506999908
17	Bugesera	20	30	8	urban	31813.2750000005	1586846.1570000201
17	Bugesera	20	30	10	urban	777032.8499999945	4305071.721000115
17	Bugesera	20	30	7	urban	125646.0	63765.345
17	Bugesera	20	30	2	rural	3667110.0	1165994.8800000001
17	Bugesera	20	30	6	urban	328725.0	163968.02999999994
17	Bugesera	20	30	1	rural	1734937.5	136640.025
18	Bugesera	16	30	4	rural	84445.79999999882	4212156.504000139
18	Bugesera	16	30	3	rural	45911.92500000106	2290086.819000053
18	Bugesera	16	30	5	rural	114980.69999999949	675912.6570000012
18	Bugesera	16	30	1	rural	213671.25	106579.2195
18	Bugesera	16	30	9	urban	3068.1000000000045	153036.8279999999
18	Bugesera	16	30	8	urban	2410.650000000003	120243.2219999999
18	Bugesera	16	30	2	rural	792592.5	309717.39
18	Bugesera	16	30	6	urban	93138.75	46457.6085
18	Bugesera	16	30	10	urban	2848.95	16396.803
19	Bugesera	8	30	4	rural	103438.7999999958	5159527.343999942
19	Bugesera	8	30	3	rural	42843.825000000936	2137049.991000046
19	Bugesera	8	30	5	rural	234563.55000000095	1329962.910000003
19	Bugesera	8	30	8	urban	18627.749999999975	929152.1699999969
19	Bugesera	8	30	1	rural	158883.75	79251.2145
19	Bugesera	8	30	9	urban	19175.624999999996	956480.1749999964
19	Bugesera	8	30	10	urban	34698.75000000004	198583.50299999985
19	Bugesera	8	30	2	rural	62092.5	18218.670000000002
19	Bugesera	8	30	6	urban	82181.25	40992.0075
20	Bugesera	18	30	4	rural	35027.475000000624	1747170.4530000277
20	Bugesera	18	30	5	rural	368318.1000000021	1960328.8920000156
20	Bugesera	18	30	3	rural	7597.1999999999725	378948.3360000016
20	Bugesera	18	30	8	urban	49272.22500000119	2457698.583000061
20	Bugesera	18	30	9	urban	123637.12499999258	6167019.794999732
20	Bugesera	18	30	10	urban	1062000.8999999834	5629569.029999997
20	Bugesera	18	30	6	urban	3307338.75	1708000.3125000007
20	Bugesera	18	30	2	rural	1479262.5	364373.4
20	Bugesera	18	30	7	urban	2108953.5	1207897.8210000002
20	Bugesera	18	30	1	rural	10957.5	5465.601000000001
21	Bugesera	10	30	4	rural	49308.75000000119	2459520.450000061
21	Bugesera	10	30	5	rural	398779.95000000234	2118831.32100002
21	Bugesera	10	30	3	rural	10117.424999999948	504657.1590000035
21	Bugesera	10	30	2	rural	2192230.5	451823.01600000006
21	Bugesera	10	30	9	urban	60887.175000001655	3037052.2890000883
21	Bugesera	10	30	8	urban	35465.77500000064	1769032.8570000287
21	Bugesera	10	30	10	urban	515659.9500000044	2749197.3030000525
21	Bugesera	10	30	1	rural	208192.5	103846.41900000001
21	Bugesera	10	30	7	urban	66475.5	14574.936
21	Bugesera	10	30	6	urban	158883.75	79251.2145
22	Bugesera	9	30	3	rural	15157.874999999898	756074.8049999998
22	Bugesera	9	30	4	rural	61654.200000001685	3075311.49600009
22	Bugesera	9	30	5	rural	212867.70000000077	1204254.0870000036
22	Bugesera	9	30	1	rural	1691107.5	114777.621
22	Bugesera	9	30	9	urban	13477.724999999915	672268.9230000012
22	Bugesera	9	30	8	urban	4675.200000000002	233198.97599999982
22	Bugesera	9	30	10	urban	56759.8499999999	327936.0600000006
22	Bugesera	9	30	7	urban	62092.5	18218.670000000002
22	Bugesera	9	30	6	urban	87660.0	43724.808000000005
23	Gatsibo	123	26	3	rural	70675.87500000102	3525312.6450001113
23	Gatsibo	123	26	4	rural	141424.79999998974	7054269.023999547
23	Gatsibo	123	26	5	rural	300235.50000000367	1738061.1180000228
23	Gatsibo	123	26	1	rural	2162280.0	185830.43399999998
23	Gatsibo	123	26	10	urban	61142.84999999985	355264.06500000105
23	Gatsibo	123	26	9	urban	18664.274999999976	930974.0369999969
23	Gatsibo	123	26	8	urban	15997.94999999989	797977.7459999991
23	Gatsibo	123	26	6	urban	60266.25	30060.805500000002
23	Gatsibo	123	26	7	urban	54787.5	18218.670000000002
23	Gatsibo	123	26	2	rural	1461000.0	291498.72000000003
24	Gatsibo	118	26	4	rural	122285.6999999928	6099610.715999746
24	Gatsibo	118	26	3	rural	59827.95000000161	2984218.146000086
24	Gatsibo	118	26	5	rural	177000.1500000006	1025711.120999997
24	Gatsibo	118	26	1	rural	147926.25	73785.6135
24	Gatsibo	118	26	2	rural	2253592.5	309717.39
24	Gatsibo	118	26	8	urban	4529.100000000003	225911.50799999983
24	Gatsibo	118	26	9	urban	5405.699999999994	269636.31599999993
24	Gatsibo	118	26	10	urban	12710.700000000008	76518.41399999995
25	Gatsibo	102	26	3	rural	35977.12500000066	1794538.99500003
25	Gatsibo	102	26	4	rural	75387.60000000027	3760333.4880001224
25	Gatsibo	102	26	5	rural	210384.0000000017	1224294.624000004
25	Gatsibo	102	26	1	rural	1680150.0	109312.01999999999
25	Gatsibo	102	26	2	rural	109575.0	72874.68000000001
25	Gatsibo	102	26	8	urban	693.9749999999998	34615.47299999998
25	Gatsibo	102	26	9	urban	365.24999999999994	18218.67
25	Gatsibo	102	26	10	urban	1899.3000000000002	9109.335
26	Gatsibo	119	26	3	rural	89741.92499999798	4476327.219000084
26	Gatsibo	119	26	4	rural	163157.17499998628	8138279.888999321
26	Gatsibo	119	26	5	rural	271526.8500000036	1579558.6890000177
26	Gatsibo	119	26	1	rural	317767.5	158502.429
