State_ID	Year	Area	Technology_ID	Potential_Adoption [-]	Semester
0	2025	rural	1	0.000489	first
0	2025	rural	2	6.7e-05	first
0	2025	rural	3	7.5e-05	first
0	2025	rural	4	0.003251	first
0	2025	rural	5	0.000247	first
0	2025	rural	6	0.020478	first
0	2025	rural	7	0.047747	first
0	2025	rural	8	0.005242	first
0	2025	rural	9	0.288966	first
0	2025	rural	10	0.214675	first
0	2025	rural	11	0.033643	first
0	2025	rural	12	0.038038	first
0	2025	rural	13	0.036069	first
0	2025	rural	14	0.022555	first
0	2025	rural	15	0.003574	first
0	2025	rural	16	0.15447	first
0	2025	rural	17	0.105596	first
0	2025	rural	18	0.023959	first
0	2025	rural	19	0.00086	first
0	2025	urban	1	0.006357	first
0	2025	urban	2	0.001721	first
0	2025	urban	3	0.001106	first
0	2025	urban	4	0.014305	first
0	2025	urban	5	0.000346	first
0	2025	urban	6	0.104661	first
0	2025	urban	7	0.421368	first
0	2025	urban	8	0.049571	first
0	2025	urban	9	0.102993	first
0	2025	urban	10	0.069054	first
0	2025	urban	11	0.030074	first
0	2025	urban	12	0.019829	first
0	2025	urban	13	0.016768	first
0	2025	urban	14	0.019557	first
0	2025	urban	15	0.004704	first
0	2025	urban	16	0.041841	first
0	2025	urban	17	0.023655	first
0	2025	urban	18	0.033891	first
0	2025	urban	19	0.038199	first
1	2025	rural	1	0.000503	second
1	2025	rural	2	0.000101	second
1	2025	rural	3	0.000115	second
1	2025	rural	4	0.003296	second
1	2025	rural	5	0.000263	second
1	2025	rural	6	0.020484	second
1	2025	rural	7	0.045259	second
1	2025	rural	8	0.005672	second
1	2025	rural	9	0.265367	second
1	2025	rural	10	0.201785	second
1	2025	rural	11	0.035156	second
1	2025	rural	12	0.047885	second
1	2025	rural	13	0.04455	second
1	2025	rural	14	0.026287	second
1	2025	rural	15	0.003743	second
1	2025	rural	16	0.15883	second
1	2025	rural	17	0.111352	second
1	2025	rural	18	0.028104	second
1	2025	rural	19	0.001246	second
1	2025	urban	1	0.006574	second
1	2025	urban	2	0.00226	second
1	2025	urban	3	0.001467	second
1	2025	urban	4	0.013366	second
1	2025	urban	5	0.00046	second
1	2025	urban	6	0.099344	second
1	2025	urban	7	0.39042	second
1	2025	urban	8	0.050518	second
